step,split,loss
473,train,1.726859
474,train,1.764606
475,train,1.757634
476,train,1.738265
477,train,1.733777
478,train,1.739818
479,train,1.732643
480,train,1.721915
481,train,1.721266
482,train,1.743407
483,train,1.716611
484,train,1.731795
485,train,1.713087
486,train,1.709751
487,train,1.717350
488,train,1.720462
489,train,1.693937
490,train,1.714585
491,train,1.717384
492,train,1.707051
493,train,1.688553
494,train,1.708668
495,train,1.679853
496,train,1.705072
497,train,1.708079
498,train,1.680727
499,train,1.673500
500,train,1.688107
500,val,1.677628
501,train,1.652368
502,train,1.670345
503,train,1.673840
504,train,1.681282
505,train,1.665935
506,train,1.648338
507,train,1.643256
508,train,1.656151
509,train,1.662294
510,train,1.676332
511,train,1.641125
512,train,1.666233
513,train,1.652485
514,train,1.683351
515,train,1.647400
516,train,1.659173
517,train,1.636698
518,train,1.639487
519,train,1.663076
520,train,1.642257
521,train,1.621539
522,train,1.631164
523,train,1.641382
524,train,1.639023
525,train,1.643326
526,train,1.621230
527,train,1.602818
528,train,1.609961
529,train,1.636123
530,train,1.606701
531,train,1.665387
532,train,1.619919
533,train,1.621312
534,train,1.636718
535,train,1.610417
536,train,1.642412
537,train,1.599056
538,train,1.626349
539,train,1.590364
540,train,1.583811
541,train,1.593488
542,train,1.597925
543,train,1.609156
544,train,1.576615
545,train,1.588896
546,train,1.585951
547,train,1.572377
548,train,1.583424
549,train,1.594998
550,train,1.623434
551,train,1.598277
552,train,1.588628
553,train,1.568756
554,train,1.590507
555,train,1.592094
556,train,1.568462
557,train,1.572999
558,train,1.581391
559,train,1.560765
560,train,1.576099
561,train,1.559573
562,train,1.580709
563,train,1.531334
564,train,1.553249
565,train,1.569614
566,train,1.537389
567,train,1.565941
568,train,1.570936
569,train,1.539048
570,train,1.543377
571,train,1.551706
572,train,1.548000
573,train,1.543515
574,train,1.543499
575,train,1.546458
576,train,1.522069
577,train,1.511715
578,train,1.565062
579,train,1.529773
580,train,1.550396
581,train,1.550183
582,train,1.537194
583,train,1.505822
584,train,1.516106
585,train,1.494512
586,train,1.527447
587,train,1.513973
588,train,1.523190
589,train,1.540288
590,train,1.520424
591,train,1.525072
592,train,1.498449
593,train,1.520722
594,train,1.490508
595,train,1.539717
596,train,1.494176
597,train,1.532073
598,train,1.496408
599,train,1.517584
600,train,1.513180
600,val,1.494655
601,train,1.474046
602,train,1.461749
603,train,1.472926
604,train,1.485590
605,train,1.487146
606,train,1.490817
607,train,1.472087
608,train,1.458699
609,train,1.487168
610,train,1.482835
611,train,1.489702
612,train,1.500055
613,train,1.494467
614,train,1.486640
615,train,1.498912
616,train,1.462662
617,train,1.495025
618,train,1.458952
619,train,1.461833
620,train,1.464734
621,train,1.450000
622,train,1.483479
623,train,1.475135
624,train,1.433682
625,train,1.447313
626,train,1.444693
627,train,1.460404
628,train,1.451536
629,train,1.462322
630,train,1.468025
631,train,1.476792
632,train,1.454321
633,train,1.450823
634,train,1.451455
635,train,1.477207
636,train,1.437599
637,train,1.433569
638,train,1.458129
639,train,1.416656
640,train,1.433321
641,train,1.466031
642,train,1.425385
643,train,1.446840
644,train,1.429412
645,train,1.445478
646,train,1.439051
647,train,1.411577
648,train,1.441562
649,train,1.446781
650,train,1.447565
651,train,1.421538
652,train,1.445070
653,train,1.449829
654,train,1.442614
655,train,1.421146
656,train,1.433464
657,train,1.431493
658,train,1.431402
659,train,1.423279
660,train,1.431199
661,train,1.421300
662,train,1.421670
663,train,1.424497
664,train,1.430187
665,train,1.426454
666,train,1.405385
667,train,1.426873
668,train,1.406811
669,train,1.427367
670,train,1.400737
671,train,1.427385
672,train,1.422155
673,train,1.395885
674,train,1.403891
675,train,1.411679
676,train,1.404477
677,train,1.431005
678,train,1.391488
679,train,1.392240
680,train,1.399121
681,train,1.402536
682,train,1.393310
683,train,1.414524
684,train,1.415000
685,train,1.413167
686,train,1.402509
687,train,1.412259
688,train,1.372577
689,train,1.368233
690,train,1.413675
691,train,1.412838
692,train,1.383440
693,train,1.421007
694,train,1.369153
695,train,1.363761
696,train,1.384778
697,train,1.376446
698,train,1.394701
699,train,1.394735
700,train,1.372118
700,val,1.374861
701,train,1.367589
702,train,1.370811
703,train,1.381790
704,train,1.384427
705,train,1.372933
706,train,1.397283
707,train,1.400248
708,train,1.354567
709,train,1.338735
710,train,1.374417
711,train,1.369095
712,train,1.385715
713,train,1.353956
714,train,1.385229
715,train,1.369319
716,train,1.389080
717,train,1.359448
718,train,1.369915
719,train,1.356112
720,train,1.365043
721,train,1.348467
722,train,1.362592
723,train,1.334361
724,train,1.332792
725,train,1.336858
726,train,1.363962
727,train,1.350562
728,train,1.346032
729,train,1.365011
730,train,1.358399
731,train,1.352463
732,train,1.350401
733,train,1.349609
734,train,1.340568
735,train,1.344358
736,train,1.350116
737,train,1.358473
738,train,1.319075
739,train,1.335084
740,train,1.343004
741,train,1.328090
742,train,1.341372
743,train,1.337162
744,train,1.343336
745,train,1.362126
746,train,1.344653
747,train,1.331727
748,train,1.345151
749,train,1.307769
750,train,1.332407
751,train,1.356133
752,train,1.361485
753,train,1.342996
754,train,1.317044
755,train,1.332539
756,train,1.338693
757,train,1.333056
758,train,1.326822
759,train,1.335180
760,train,1.321905
761,train,1.315997
762,train,1.320314
763,train,1.328798
764,train,1.299321
765,train,1.321252
766,train,1.313054
767,train,1.342488
768,train,1.345755
769,train,1.326210
770,train,1.328000
771,train,1.293443
772,train,1.328753
773,train,1.315404
774,train,1.330113
775,train,1.321141
776,train,1.328208
777,train,1.299068
778,train,1.311245
779,train,1.325040
780,train,1.306412
781,train,1.339509
782,train,1.295453
783,train,1.324416
784,train,1.326826
785,train,1.304528
786,train,1.306487
787,train,1.329594
788,train,1.297809
789,train,1.284128
790,train,1.305416
791,train,1.291875
792,train,1.305687
793,train,1.315799
794,train,1.292940
795,train,1.312283
796,train,1.334207
797,train,1.304725
798,train,1.310127
799,train,1.321500
800,train,1.302870
800,val,1.297917
801,train,1.302144
802,train,1.309083
803,train,1.308870
804,train,1.297242
805,train,1.300395
806,train,1.291436
807,train,1.291153
808,train,1.298230
809,train,1.285696
810,train,1.306495
811,train,1.283624
812,train,1.299627
813,train,1.309633
814,train,1.278174
815,train,1.275988
816,train,1.293812
817,train,1.275020
818,train,1.287701
819,train,1.262187
820,train,1.270543
821,train,1.279237
822,train,1.284999
823,train,1.294624
824,train,1.288010
825,train,1.295275
826,train,1.317215
827,train,1.259725
828,train,1.285746
829,train,1.282979
830,train,1.262856
831,train,1.290266
832,train,1.289643
833,train,1.281475
834,train,1.303842
835,train,1.268652
836,train,1.267892
837,train,1.278766
838,train,1.291930
839,train,1.270670
840,train,1.282758
841,train,1.273021
842,train,1.244883
843,train,1.263057
844,train,1.277523
845,train,1.272306
846,train,1.256125
847,train,1.258660
848,train,1.246332
849,train,1.273807
850,train,1.286327
851,train,1.248250
852,train,1.242668
853,train,1.269071
854,train,1.240943
855,train,1.269793
856,train,1.248636
857,train,1.287441
858,train,1.249117
859,train,1.261466
860,train,1.292899
861,train,1.249099
862,train,1.238916
863,train,1.293842
864,train,1.265796
865,train,1.266136
866,train,1.244160
867,train,1.233053
868,train,1.270338
869,train,1.258671
870,train,1.262239
871,train,1.231133
872,train,1.278976
873,train,1.264186
874,train,1.269622
875,train,1.232921
876,train,1.237165
877,train,1.247112
878,train,1.263868
879,train,1.249741
880,train,1.267341
881,train,1.262453
882,train,1.245413
883,train,1.261701
884,train,1.282327
885,train,1.263656
886,train,1.269825
887,train,1.270905
888,train,1.232677
889,train,1.250840
890,train,1.245738
891,train,1.234983
892,train,1.235890
893,train,1.249890
894,train,1.231949
895,train,1.243933
896,train,1.239469
897,train,1.229463
898,train,1.253165
899,train,1.243826
900,train,1.253445
900,val,1.240495
901,train,1.242333
902,train,1.231518
903,train,1.233832
904,train,1.243260
905,train,1.226386
